#Band 0: S450_JCMT
#Band 1: S500_Herschel
#Band 2: S850_JCMT
#Band 3: Band9_ALMA
#Band 4: Band8_ALMA
#Band 5: Band7_ALMA
#Band 6: Band6_ALMA
#Band 7: Band5_ALMA
#Band 8: Band4_ALMA
#Cumulative number counts at band 0
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
22.0 87.1080452712 10.6869095763 71.0267025871
24.0 69.4695466384 8.59216407389 56.307871358
26.0 55.7980881605 6.87743877328 45.1853288676
28.0 44.833115022 5.67249667014 36.4170578709
30.0 35.7775116777 4.671467846 29.1874052521
32.0 29.0669110418 3.89288987167 23.6168652214
34.0 23.1905010926 3.26261246387 18.8619783068
36.0 18.7785592381 2.70648533935 15.3120334952
38.0 14.7466375853 2.07620793156 12.1050337438
40.0 11.474756336 1.60349987571 9.37074204822
42.0 8.75900221125 1.30689874263 7.02573933982
44.0 6.2656989363 0.926878540873 5.05148804776
46.0 3.9299650133 0.667352549428 2.98454890161
48.0 1.8074131547 0.36148263094 1.32543631345
#Differential number counts at band 1
#log10(S_mid/mJy) N_total[deg^-2 dex^-1] N_bulge[deg^-2 dex^-1] N_disk[deg^-2 dex^-1]
-1.875 157118.295775 158924.188849 53923.1240978
-1.625 169016.74683 172624.380562 50161.9251292
-1.375 180092.018515 179679.149738 48327.410046
-1.125 166878.363886 158185.800328 47590.1337794
-0.875 137546.06898 122478.286518 46774.3323629
-0.625 112701.126767 91080.9803737 44352.6582616
-0.375 93841.0763678 65486.9719991 38289.6120495
-0.125 72180.3697693 40746.6187607 29885.6784696
0.125 45148.3649513 19176.8574847 21618.1443359
0.375 23322.5998223 6732.4008192 14061.785569
0.625 10789.3481926 2059.52411782 7781.55317719
0.875 4298.00994431 599.690415945 3397.64012971
1.125 1514.40831036 190.899904278 1242.20262048
1.375 470.743073339 56.2059147185 382.096409689
1.625 138.475654006 18.3892702509 113.672384253
1.875 46.1956264771 6.37692436121 36.7043902186
2.125 16.0535363279 2.48403448954 12.1235713146
2.375 4.81976841254 0.370751416349 3.96704015494
2.625 1.92790736502 0.259525991444 1.63130623194
2.875 0.630277407794 0.111225424905 0.407826557984
#S_mid/mJy N_total[deg^-2 mJy^-1] N_bulge[deg^-2 mJy^-1] N_disk[deg^-2 mJy^-1]
1.0 352755.054546 351248.455187 286254.545497
3.0 2824.06451665 725.653209649 1806.55579205
5.0 750.827230819 127.886066677 560.200755711
7.0 298.339030343 41.8485661204 235.983276506
9.0 148.675952349 19.3068800064 119.483912704
11.0 84.4432694662 10.5200714389 69.2656333594
13.0 51.3490711644 6.37692436121 41.6863623758
15.0 33.1590797997 4.18485661204 27.8387969751
17.0 22.5648580776 3.02162404325 18.2177977209
19.0 16.6421042014 2.00205764829 13.4582764135
21.0 11.5396378339 1.45056491647 9.4495267242
23.0 8.81924931641 1.04737275119 7.35941561453
25.0 6.83572923894 0.857362650307 5.56127124524
27.0 5.48248656926 0.602471051567 4.38413549833
29.0 4.52780167216 0.500514412071 3.6148263094
31.0 3.35530031796 0.389288987167 2.78527001532
33.0 2.93820497457 0.315138703897 2.37744345734
35.0 2.20597092728 0.278063562262 1.77497240577
37.0 2.0159608264 0.315138703897 1.60349987571
39.0 1.63594062464 0.236354027923 1.36714584779
41.0 1.35787706238 0.14830056654 1.1725013542
43.0 1.24665163747 0.190010100879 0.98712564603
45.0 1.1678669615 0.129762995722 1.03346957307
47.0 1.0612759293 0.152934959244 0.829556294081
49.0 0.903706577351 0.18074131547 0.662718156724
#Cumulative number counts at band 2
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 225619.143113 189418.529919 84008.3409797
-1.75 189376.662815 151691.570219 72522.7216272
-1.5 150765.998577 110957.028686 61311.1339153
-1.25 112440.831467 71854.6739189 50262.7509769
-1.0 78330.468414 40476.3873221 39330.3205439
-0.75 50157.5131874 19023.5332364 28714.5859708
-0.5 28725.7455884 6942.13489543 18954.2954094
-0.25 14613.7417401 1961.22864856 11004.2820574
0.0 6581.71817481 487.510306143 5466.646215
0.25 2535.02207807 119.780513837 2229.1428908
0.5 794.881767867 29.5118127414 717.589366344
0.75 204.460137331 7.27599654585 186.840176269
1.0 49.4397013702 1.98352007747 44.5087075327
1.25 12.4201724477 0.639546193202 10.7332535033
1.5 3.54994481154 0.176106922766 3.16992460979
1.75 1.23274845936 0.111225424905 1.02883518037
2.0 0.259525991444 0.0370751416349 0.203913278992
2.25 0.0648814978611 0.0185375708175 0.0370751416349
2.5 0.0370751416349 0.00926878540873 0.0278063562262
2.75 0.00926878540873 0.0 0.00926878540873
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 706968.228069 695210.75524 543347.64761
2.0 2035.2677064 90.2408947394 1802.85291228
4.0 463.17047566 16.5911258816 420.839932698
6.0 172.529171598 6.07105444272 157.430320167
8.0 84.4108287173 3.17919339519 76.3655229825
10.0 47.9196205631 1.86302586715 43.1832712193
12.0 30.5406479218 1.269823601 27.2224227454
