a_max_f_micron,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
3.4781906513141303,0.9999999996686344,2.9219512226965355e-05,2.9219512217283012e-05,0.9999999993641677,4.1416458712732706e-05,4.1416458686398784e-05,0.9999999981401936,7.570523872891238e-05,7.57052385881153e-05,0.9999999907254645,0.00019203386245589423,0.00019203386067486936
3.55941352321686,0.9999999996369107,3.0943043876890794e-05,3.09430438656557e-05,0.9999999993032959,4.3859393615163095e-05,4.385939358460608e-05,0.9999999979621387,8.017047661243879e-05,8.017047644906248e-05,0.9999999898374738,0.00020335863859130129,0.00020335863652466382
3.642533115449638,0.9999999996021226,3.2775959145310705e-05,3.2775959132269894e-05,0.9999999992365421,4.645736432650168e-05,4.645736429103344e-05,0.9999999977668799,8.491906827003512e-05,8.491906808040064e-05,0.9999999888636715,0.00021540186226048168,0.00021540185986169578
3.72759372031494,0.9999999995639723,3.4725440386877305e-05,3.4725440371736056e-05,0.9999999991633384,4.922055026033812e-05,4.9220550219157176e-05,0.9999999975527515,8.99696154354601e-05,8.99696152152821e-05,0.9999999877957559,0.00022821067428630107,0.0002282106715011623
3.814640664431178,0.9999999995221357,3.6799151762587893e-05,3.679915174500289e-05,0.99999999908306,5.2159813614240996e-05,5.215981356641358e-05,0.9999999973179304,9.534196719175652e-05,9.534196693604273e-05,0.9999999866246219,0.00024183537345718857,0.000241835370222549
3.9037203328860905,0.9999999994762555,3.90052720361089e-05,3.9005272015680105e-05,0.9999999989950235,5.5286745837342616e-05,5.528674578178073e-05,0.9999999970604126,0.00010105730481329423,0.00010105730451622745,0.9999999853402826,0.0002563296309183729,0.00025632962716065296
3.9948801939541707,0.9999999994259415,4.13525296257606e-05,4.135252960202183e-05,0.9999999988984776,5.86137172925339e-05,5.861371722796957e-05,0.9999999967780041,0.0001071382324343431,0.00010713823208914416,0.9999999839317857,0.00027175071923190116,0.00027175071486535237
4.088168824391292,0.9999999993707634,4.385024006848381e-05,4.385024004089164e-05,0.9999999987925995,6.215393033431704e-05,6.215393025927235e-05,0.9999999964682968,0.00011360887394682006,0.00011360887354558725,0.9999999823871188,0.0002881597571111202,0.0002881597520357966
4.183635935320019,0.9999999993102517,4.650834606279731e-05,4.650834603071826e-05,0.9999999986764861,6.592147603974969e-05,6.59214759525017e-05,0.99999999612865,0.00012049497655738705,0.00012049497609090883,0.9999999806931054,0.00030562197090397636,0.00030562196500336515
4.281332398719393,0.9999999992438907,4.933746026970702e-05,4.933746023240251e-05,0.9999999985491481,6.993139484375977e-05,6.993139474229967e-05,0.9999999957561666,0.00012782402146400875,0.0001278240209215449,0.9999999788352959,0.0003242069739724544,0.0003242069671107097
4.3813102745333055,0.999999999171114,5.2348911062642186e-05,5.234891101925091e-05,0.9999999984094995,7.419974135083544e-05,7.419974123282071e-05,0.9999999953476708,0.00013562534214391715,0.00013562534151294342,0.9999999767978407,0.00034398906519343946,0.0003439890572121504
4.483622838411908,0.9999999990913013,5.5554791430980244e-05,5.555479138049768e-05,0.9999999982563496,7.874365361181107e-05,7.874365347450965e-05,0.9999999948996784,0.00014393025077881277,0.0001439302500447222,0.9999999745633561,0.0003650475478897554,0.0003650475386041709
4.588324610100845,0.9999999990037723,5.896801125592193e-05,5.896801119717637e-05,0.9999999980883918,8.358142717525846e-05,8.358142701548352e-05,0.9999999944083687,0.00015277217337944087,0.00015277217252519521,0.9999999721127762,0.00038746707058812975,0.00038746705978274886
4.695471382493428,0.9999999989077797,6.260235319276808e-05,6.260235312439251e-05,0.9999999979041938,8.873259424437357e-05,8.873259405840726e-05,0.9999999938695507,0.00016218679421061793,0.00016218679321634003,0.9999999694251898,0.0004113379910958433,0.0004113379785192623
4.805120251361242,0.9999999988025052,6.647253240959294e-05,6.647253232999243e-05,0.9999999977021848,9.421800829312355e-05,9.421800807662799e-05,0.9999999932786284,0.00017221221015938982,0.00017221220900188756,0.9999999664776599,0.0004367567654881285,0.00043675675084701965
4.917329645779018,0.9999999986870515,7.059426045095748e-05,7.059426035827085e-05,0.9999999974806418,0.00010005993452043289,0.00010005993426834608,0.9999999926305603,0.00018288909573260415,0.00018288909438481397,0.9999999632450312,0.00046382636370584075,0.0004638263466579172
5.032159359259993,0.9999999985604333,7.498431351125373e-05,7.498431340330881e-05,0.9999999972376753,0.00010628214654681574,0.00010628214625322994,0.9999999919198175,0.00019426087941857727,0.0001942608778489139,0.9999999596997122,0.0004926567135763854,0.0004926566937221781
5.149670581618341,0.9999999984215704,7.966060542552503e-05,7.966060529978637e-05,0.9999999969712119,0.00011291002978647522,0.00011291002944449467,0.9999999911403369,0.000206373932197047,0.0002063739303686435,0.9999999558114394,0.000523365175193299,0.0005233651520665453
5.269925931575657,0.999999998269279,8.464226570465302e-05,8.464226555816086e-05,0.9999999966789792,0.00011997069195754662,0.00011997069155912146,0.9999999902854676,0.00021927776903648874,0.00021927776690630775,0.9999999515470209,0.0005560770477180631,0.0005560770207744736
5.392989490128873,0.999999998102259,8.994972296530851e-05,8.994972279460724e-05,0.999999996358484,0.00012749308122557144,0.00012749308076130336,0.9999999893479153,0.00023302526427449572,0.00023302526179229087,0.9999999468700487,0.000590926110805853,0.0005909260794099775
5.518926834697381,0.9999999979190862,9.560479412921498e-05,9.560479393026965e-05,0.999999996006992,0.00013550811250931974,0.00013550811196823476,0.9999999883196798,0.00024767288183966086,0.0002476728789467623,0.9999999417405931,0.0006280552030027002,0.0006280551664125766
5.647805074067555,0.9999999977181987,0.00010163077979288482,0.00010163077956098357,0.9999999956215048,0.00014404880251494588,0.00014404880188422889,0.9999999871919876,0.00026328092133776445,0.0002632809179656591,0.999999936114855,0.000667616839616542,0.0006676167969657434
5.779692884153313,0.9999999974978813,0.00010805256619594751,0.00010805256592558716,0.9999999951987325,0.00015315041410342834,0.00015315041336811224,0.9999999859552138,0.00027991378109645587,0.00027991377716512665,0.9999999299447953,0.0007097738727298518,0.0007097738230064978
5.914660544591749,0.9999999972562552,0.00011489673424684932,0.00011489673393160201,0.9999999947350695,0.00016285061063848043,0.0001628506097810833,0.9999999845988052,0.0002976402393363292,0.0002976402347523139,0.9999999231777225,0.0007547001961958739,0.0007547001382180859
6.05277997619335,0.9999999969912589,0.00012219167609585469,0.00012219167572821157,0.9999999942265582,0.00017318962100629608,0.00017318962000639589,0.9999999831111844,0.0003165337547167819,0.0003165337493709017,0.9999999157558429,0.0008025814986463188,0.000802581431033517
6.194124779266756,0.9999999967006311,0.0001299677197798744,0.00012996771935106297,0.9999999936688603,0.00018421041604704035,0.00018421041488077847,0.9999999814796553,0.0003366727875897435,0.00033667278135444744,0.9999999076157646,0.0008536160677347123,0.0008536159888740447
6.338770272838487,0.9999999963818923,0.0001382572624994851,0.00013825726199925544,0.9999999930572164,0.00019595889718817313,0.00019595889582767293,0.9999999796902924,0.0003581411433853908,0.00035814113611164894,0.9999998986879559,0.0009080156490479987,0.0009080155570550773
6.486793534788511,0.9999999960323236,0.00014709491312787755,0.00014709491254425252,0.9999999923864074,0.00020848409812502467,0.00020848409653771168,0.9999999777278222,0.000381028339650538,0.00038102833116420706,0.9999998888961511,0.0009660063633385936,0.0009660062560115687
6.638273442923082,0.9999999956489409,0.00015651764459264993,0.0001565176439116324,0.9999999916507089,0.00022183840045178162,0.00022183839859958823,0.9999999755754926,0.0004054299983632885,0.0004054299884608605,0.9999998781566959,0.0010278296859630727,0.0010278295607289076
6.793290717006699,0.9999999952284735,0.0001665649568160939,0.00016656495602132478,0.9999999908438428,0.0002360777642085731,0.00023607776204700797,0.9999999732149305,0.00043144826525798763,0.0004314482537016159,0.9999998663778324,0.0010937434926583986,0.0010937433465100224
6.951927961775606,0.9999999947673336,0.0001772790509465879,0.00017727905001894577,0.9999999899589227,0.0002512619743761904,0.0002512619718532495,0.9999999706259852,0.00045919225801059854,0.0004591922445222784,0.9999998534589132,0.0011640231760469838,0.0011640230054697624
7.1142697109557345,0.9999999942615863,0.00018870501566508837,0.0001887050145822209,0.9999999889883967,0.00026745490442169675,0.0002674549014765894,0.9999999677865531,0.00048877854525987,0.0004887785295146283,0.9999998392895393,0.0012389628375346956,0.0012389626384204072
7.28040247230857,0.9999999937069146,0.0002008910264042942,0.00020089102514006982,0.9999999879239813,0.00028472479807293633,0.0002847247946345943,0.9999999646723924,0.0005203316585719482,0.0005203316401898756,0.9999998237486146,0.0013188765595544525,0.0013188763271006318
7.450414773728913,0.9999999930985866,0.00021388855837585705,0.00021388855689972368,0.999999986756592,0.00030314457058119263,0.0003031445665665254,0.9999999612569153,0.0005539846395968889,0.0005539846181338151,0.9999998067033072,0.0014040997634096623,0.0014040994920018217
7.624397210419138,0.9999999924314104,0.00022775261436338372,0.00022775261263961765,0.9999999854762648,0.00032279213081709443,0.000322792126128947,0.9999999575109577,0.0005898796248156473,0.000589879599752227,0.9999997880079139,0.00149499065828985,0.0014949903413636616
7.8024424931650485,0.9999999916996916,0.00024254196830414063,0.00024254196629096747,0.9999999840720712,0.0003437507256369449,0.0003437507201617078,0.9999999534025337,0.0006281684704353013,0.0006281684411642422,0.9999997675026092,0.001591931787362986,0.001591931417242999
7.984645497739087,0.9999999908971856,0.00025831942575351785,0.0002583194234020841,0.9999999825320252,0.0003661093080538817,0.0003661093016586935,0.9999999488965603,0.0006690134201594992,0.0006690133859706122,0.9999997450120758,0.0016953316771965976,0.0016953312449074923
8.171103315457199,0.9999999900170436,0.0002751521024005419,0.0002751520996537105,0.9999999808429813,0.0003899629308535063,0.0003899629233829791,0.9999999439545572,0.0007125878187408236,0.0007125877788035237,0.9999997203440003,0.0018056265971227456,0.0018056260921684346
8.361915304916318,0.9999999890517531,0.0002931117218839699,0.0002931117186749104,0.9999999789905205,0.0004154131674040534,0.00041541315867643896,0.9999999385343178,0.0007590768744119496,0.0007590768277547716,0.9999996932874268,0.0019232824355387538,0.001923281845643849
8.557183144940007,0.9999999879930761,0.0003122749342430768,0.00031227493049361545,0.9999999769588296,0.000442568561529776,0.0004425685513324783,0.9999999325895509,0.0008086784734951943,0.0008086784189818152,0.9999996636109425,0.0020487967005281362,0.0020487960113353453
8.757010888760508,0.9999999868319756,0.0003327236564290049,0.00033272365204769166,0.9999999747305632,0.0004715451084425863,0.000471545096526907,0.9999999260694784,0.0008616040507031929,0.000861603987004356,0.9999996310606961,0.0021827006525906747,0.0021826998473066152
8.961505019466045,0.9999999855585409,0.00035454543639979944,0.000354545431279646,0.9999999722866982,0.0005024667688606614,0.0005024667549356482,0.9999999189184093,0.0009180795188707087,0.000918079444431361,0.9999995953582171,0.002325561577689591,0.002325560636670208
9.17077450674293,0.9999999841619025,0.0003778338424256915,0.00037783383644152227,0.9999999696063698,0.0005354660185863019,0.0005354660023115458,0.9999999110752552,0.0009783462620964166,0.0009783461750972249,0.9999995561980244,0.0024779852092525825,0.0024779841095178513
9.384930864942726,0.999999982630138,0.00040268887934202466,0.0004026888723473744,0.9999999666666931,0.0005706844359658899,0.0005706844169430905,0.9999999024730135,0.001042662196527433,0.001042662094839731,0.9999995132450021,0.002640618308202602,0.002640617022868443
9.60408821250538,0.999999980950172,0.00042921743360474095,0.0004292174254282226,0.9999999634425675,0.0006082733298178557,0.0006082733075809445,0.9999998930381908,0.0011113029032854803,0.0011113027844185113,0.9999994661315235,0.0028141514105412863,0.00281414990815456
