a_max_f_micron,P_Band4,omega_Band4,P_times_omega_Band4,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7,omega_Band7,P_times_omega_Band7
1647494.98997996,0.19932246627298053,0.8831232385318003,0.1760263019271401,0.19176626086900708,0.8384457328611172,0.16078560313235082,0.20429221925747554,0.7944052732360591,0.16229081625923575,0.25321280236960075,0.7006507634726449,0.1774137433013087
1667334.6693386775,0.20117851293230474,0.8821880532594456,0.1774772806813801,0.19304392446103294,0.8372909946915875,0.16163393953114596,0.2049958809174694,0.7931343115315352,0.16258926687827768,0.2541645307139151,0.6994241927368244,0.17776882171691388
1687174.3486973948,0.1977734628295715,0.8812525921360909,0.1742883767742907,0.19349810673444673,0.8361572737631165,0.1617948494053995,0.2067603247994251,0.7918692668003502,0.16372714680232303,0.2558273431190251,0.6982129427328734,0.17862196207066702
1707014.0280561124,0.195178447424698,0.8803100567854042,0.17181755013572292,0.1929144844889993,0.8350309891444985,0.1610895728031501,0.2049155870323301,0.7906085367002701,0.16200801241070734,0.25621047386050555,0.6970245362473309,0.17858498672432777
1726853.7074148299,0.1956949471172749,0.8793674899357596,0.17208777443962925,0.19159406034697113,0.83390162175378,0.15977059764173082,0.2052599323791319,0.7893654627433809,0.16202510150512853,0.25665250647273047,0.6958490485135314,0.17859140242766244
1746693.3867735472,0.19579056586727847,0.8784369806431229,0.17198967351886058,0.19048756742260187,0.8327765193223232,0.15863357337237075,0.20779033652469242,0.7881392392944605,0.16376771776131105,0.2583669933727667,0.6946943616825277,0.17948609354092804
1766533.0661322644,0.19130005189568186,0.8775225323976918,0.16787010598730862,0.1895797245671624,0.8316693544448943,0.15766764714661283,0.20682150156480994,0.7869148556639477,0.16275091205207334,0.2594428134104558,0.6935553259668414,0.17993794502464308
1786372.7454909824,0.19102776181166564,0.8766161506894175,0.16745802123415723,0.19098617171820145,0.830577320474071,0.15862878275330455,0.20497758357707407,0.785696576871247,0.16105018575184704,0.25960927392224475,0.6924320376006293,0.17976177852199987
1806212.4248496997,0.1944345294610246,0.8757071157115106,0.1702677009890386,0.19370942195469196,0.8294861665679989,0.1606792858453004,0.2063280884294754,0.7844995307763264,0.1618642885588998,0.26091317938413644,0.6913273696416451,0.18037642200847376
1826052.1042084168,0.1913390455936192,0.8747933803719611,0.1673821304919869,0.19475747374813795,0.8283941317251784,0.16133594836257797,0.2080666582666456,0.783313417792933,0.16298140521560037,0.2626419802982252,0.6902359071070443,0.18128492551553593
1845891.7835671343,0.19082600104908837,0.8738828747806114,0.16675957437966532,0.19540799092075964,0.8273124447272189,0.16166346268788784,0.20655842655154544,0.7821280763036776,0.16155514480307473,0.26303917562582524,0.6891619685767191,0.18127659608709107
1865731.462925852,0.19249356093020684,0.8729852312293971,0.16804403579882665,0.1951916265369154,0.8262482235504134,0.16127673467804207,0.20686050672033657,0.7809530863940604,0.1615483511762861,0.26357043923331747,0.6881028840207679,0.1813635793790663
1885571.1422845696,0.1921403067416023,0.8721012323892879,0.16756579830100718,0.19388927609855927,0.825192084584794,0.1599958959224068,0.20854065116454706,0.7797948735138865,0.16261893069736152,0.26515469345680764,0.6870583151005223,0.18217673692742975
1905410.8216432866,0.1908029130860076,0.8712217925569615,0.16623165596388167,0.19267268977747495,0.8241339281325638,0.15878810067017732,0.2081674195294735,0.7786455417444798,0.1620886331530773,0.26607474658826935,0.6860300355068856,0.182535267849436
1925250.5010020041,0.19003201429912206,0.8703385502822034,0.16539218783230483,0.19189925270422292,0.8230784642301009,0.15794814220269585,0.2068371430606571,0.7774985391720692,0.1608155765761852,0.266268011032613,0.6850139181171796,0.18239729350671863
