Xdata,P_Band4_nterms2,omega_Band4_nterms2,P_times_omega_Band4_nterms2,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7_nterms2,omega_Band7_nterms2,P_times_omega_Band7_nterms2
44895.29058116233,0.8120185704350567,0.9871165848909721,0.8015569981159024,0.7850198838902596,0.9865157874269911,0.7744345089018445,0.7235882709604902,0.9849089632173067,0.7126685737478999,0.6194382040634119,0.9784063388818939,0.6060622654012583
45095.671342685375,0.811708704873506,0.9871529003201953,0.8012806022310309,0.7848840019572304,0.9865446962759938,0.7743231493227825,0.7216318646561485,0.9849179586081596,0.7107481830037334,0.618757120924882,0.9783478732700792,0.6053597133275755
45296.052104208415,0.8115044544456897,0.9871887460294846,0.8011080647815815,0.7846461823109223,0.986573135798395,0.7741108445747258,0.7198372900944575,0.9849264463831474,0.7089867841068088,0.6184819134176921,0.9782887137574838,0.6050538755596615
45496.43286573146,0.8113816413540724,0.9872241286330399,0.8010155338746199,0.7842749235120987,0.9866011119176251,0.773766511586147,0.7182671233780773,0.9849344287871602,0.7074460188809832,0.618420877762927,0.9782288800710195,0.6049571626665649
45696.81362725451,0.8113138933116566,0.987259054886117,0.800976987526842,0.7837452529689636,0.9866286304901756,0.7732655055899448,0.7169640543002644,0.9849419088826693,0.7061679442427602,0.6183413009391564,0.9781683883149683,0.6048419137682355
45897.19438877756,0.8112737005056372,0.9872935315869351,0.8009652768558121,0.7830396268645158,0.9866556973288784,0.7725905090801536,0.7159476191045983,0.9849488907102936,0.7051718132437498,0.618023466102627,0.9781072458721933,0.6044932303140274
46097.5751503006,0.8112334021959308,0.9873275654470878,0.8009530999994665,0.7821486050074143,0.9866823182286122,0.7717321987879907,0.7152129690010431,0.9849553790516146,0.7044528609850531,0.6173057155464153,0.9780454531821163,0.6037530483135044
46297.95591182365,0.8111660751226544,0.987361162950227,0.8009138792788753,0.7810712958476421,0.986708498974392,0.7706896859178102,0.7147316255253047,0.9849613789582329,0.7039830474624634,0.6161104340901682,0.9779830107343183,0.6025455372763304
46498.336673346705,0.8110463125432018,0.9873943302207956,0.8008225305516408,0.7798155462043764,0.9867342453167937,0.7694707044702787,0.7144540428821181,0.9849668952814068,0.7037135804388489,0.6144507017198475,0.9779199254221225,0.6008835844014441
46698.717434869744,0.8108508957373751,0.9874270729232881,0.8006561265551826,0.7783978317059114,0.9867595629094181,0.7680915041837639,0.7143137302551122,0.9849719324077024,0.7035789752347322,0.6124224466420076,0.9778562110314567,0.5988610932239681
46899.098196392784,0.8105593682770248,0.9874593962080905,0.8003944643896422,0.7768427933740608,0.9867844572150671,0.7665763942010592,0.7142326551882318,0.9849764942956356,0.703502376818768,0.6101866411888658,0.9777918826428086,0.596635544651553
47099.47895791583,0.8101545270492579,0.9874913047131127,0.8000205509351065,0.775182368203917,0.9868089333982913,0.7649568859564688,0.7141276134750477,0.984980584765721,0.7034018343180013,0.6079437174122034,0.9777269500734856,0.5944029566417707
47299.85971943887,0.8096228433332721,0.9875228026222316,0.7995210193154527,0.7734544801714993,0.9868329962290314,0.7632704021144087,0.7139171834565204,0.984984207881144,0.7031971514396582,0.6059009502960416,0.977661416434704,0.5923659812855612
47500.24048096192,0.8089548229131628,0.9875538937732998,0.7988864852545842,0.7717012931973858,0.9868566500231192,0.761558553023281,0.7135287814409196,0.9849873682142477,0.7028168365766105,0.6042344913730817,0.9775952833889296,0.5906967888272335
47700.62124248497,0.8081453072351125,0.987584581801357,0.7981118452805177,0.7699670760190284,0.9868798986398581,0.7598650299376867,0.7129052271351393,0.9849900708411229,0.7022045701788476,0.6030512654260988,0.9775285587256588,0.589499834329659
47901.00200400801,0.8071937090933672,0.98761487029779,0.7971965103114379,0.7682957838290436,0.986902745545835,0.7582332184521725,0.7120101605747491,0.9849923210236498,0.7013245406569436,0.6023607352798561,0.9774612595121698,0.5887842829873249
48101.38276553106,0.8061041674670387,0.9876447629641458,0.7961445594023936,0.7667285133635106,0.9869251939400429,0.7567036867506434,0.710831673631167,0.9849941236779904,0.7001650214508905,0.6020684820912684,0.9773934073374143,0.5884577651616498
48301.763527054114,0.804885598243063,0.9876742637403652,0.7949647906399406,0.7653010259212226,0.9869472469216092,0.7553117405992338,0.7093836592005107,0.9849954828323779,0.6987396999076061,0.6019977167064093,0.9773250187591792,0.5883474297730745
48502.14428857716,0.8035516120483572,0.9877033768911108,0.7936706407264582,0.7640415473740282,0.9869689076711313,0.7540852514271056,0.707704633396584,0.9849964012996525,0.697086517078725,0.6019323670810919,0.9772560986186193,0.5882420766859384
48702.525050100194,0.8021202686817047,0.9877321070399531,0.7922799430844335,0.7629690398631674,0.9869901796122155,0.7530429496931073,0.7058541061110604,0.984996880719581,0.6952640927625026,0.60166576634055,0.9771866421015605,0.5879397498777842
